id,location_name,experience,safety_level
577,Katraj Snake Park,Rich historical significance,2
578,Shinde Chhatri,Great for shopping,5
579,Rajiv Gandhi Zoological Park,Well-connected,5
580,Pataleshwar Cave Temple,Beautiful garden with a serene atmosphere,3
581,Osho Ashram,Very spiritual and peaceful,3
582,Osho Ashram,Scenic and tranquil,2
583,Fashion Street,Great for shopping,3
584,Parvati Hill Temple,Busy and bustling,2
585,Peshwa Udyan,Developing area,2
586,Dagdusheth Halwai Ganpati Temple,Very spiritual and peaceful,4
587,Lal Mahal,Amazing variety of animals,4
588,Tulsi Baug,Developing area,2
589,Hong Kong Lane,Developing area,1
590,Katraj Snake Park,Family-friendly,5
591,Rajiv Gandhi Zoological Park,Well-connected,3
592,Tulsi Baug,Very spiritual and peaceful,2
593,Kasba Ganpati Temple,Very spiritual and peaceful,5
594,Mulshi Lake and Dam,Rich historical significance,3
595,Parvati Hill Temple,Rich historical significance,1
596,Shinde Chhatri,Well-connected,1
597,Peshwa Udyan,Rich historical significance,4
598,Aga Khan Palace,Beautiful garden with a serene atmosphere,3
599,Dagdusheth Halwai Ganpati Temple,Great for shopping,3
600,Sinhagad Fort,Very spiritual and peaceful,5
601,Tathawade Park,Great for shopping,5
602,Kasba Ganpati Temple,Well-connected,1
603,Parvati Hill Temple,Rich historical significance,2
604,Rajiv Gandhi Zoological Park,Rich historical significance,3
605,Katraj Snake Park,Very spiritual and peaceful,3
606,Peshwa Udyan,Developing area,5
607,Pune Okayama Friendship Garden,Rich historical significance,4
608,Peshwe Udyan Zoo,Beautiful garden with a serene atmosphere,1
609,Baner Pashan Biodiversity Park,Well-connected,4
610,Shunyo Park,Great for shopping,2
611,Raja Dinkar Kelkar Museum,Rich historical significance,5
612,Saras Baug,Scenic and tranquil,4
613,Lal Mahal,Great for shopping,4
614,Laxmi Road,Amazing variety of animals,1
615,Bund Garden,Scenic and tranquil,1
616,Pune Okayama Friendship Garden,Well-connected,2
617,Shaniwar Wada,Family-friendly,5
618,Kamala Nehru Park,Developing area,5
619,Baner Pashan Biodiversity Park,Rich historical significance,4
620,Parvati Hill Temple,Busy and bustling,2
621,Shinde Chhatri,Busy and bustling,1
622,Lal Mahal,Busy and bustling,3
623,Chaturshringi Temple,Amazing variety of animals,4
624,Parvati Hill Temple,Well-connected,1
625,Fashion Street,Busy and bustling,1
626,Osho Ashram,Busy and bustling,5
627,Shaniwar Wada,Very spiritual and peaceful,4
628,Raja Dinkar Kelkar Museum,Great for shopping,2
629,Mahatma Phule Mandai,Beautiful garden with a serene atmosphere,5
630,Tulsi Baug,Amazing variety of animals,4
631,Osho Ashram,Busy and bustling,1
632,Laxmi Road,Amazing variety of animals,1
633,Lal Mahal,Great for shopping,1
634,Mahatma Phule Mandai,Developing area,3
635,Katraj Snake Park,Developing area,5
636,Pataleshwar Cave Temple,Very spiritual and peaceful,3
637,Kamala Nehru Park,Scenic and tranquil,4
638,Rajiv Gandhi Zoological Park,Family-friendly,1
639,Parvati Hill Temple,Amazing variety of animals,4
640,Katraj Snake Park,Amazing variety of animals,5
641,Mahatma Phule Mandai,Great for shopping,3
642,Katraj Snake Park,Beautiful garden with a serene atmosphere,4
643,Pune Okayama Friendship Garden,Amazing variety of animals,2
644,Pataleshwar Cave Temple,Rich historical significance,4
645,Aga Khan Palace,Scenic and tranquil,4
646,Mahatma Phule Mandai,Beautiful garden with a serene atmosphere,4
647,Kamala Nehru Park,Amazing variety of animals,1
648,Baner Pashan Biodiversity Park,Busy and bustling,4
649,Dagdusheth Halwai Ganpati Temple,Great for shopping,5
650,Tathawade Park,Family-friendly,3
651,Laxmi Road,Amazing variety of animals,5
652,Rajiv Gandhi Zoological Park,Rich historical significance,4
653,Mahatma Phule Mandai,Developing area,3
654,Kasba Ganpati Temple,Busy and bustling,5
655,Sinhagad Fort,Busy and bustling,4
656,Kamala Nehru Park,Well-connected,5
657,Chaturshringi Temple,Family-friendly,5
658,Lal Mahal,Busy and bustling,4
659,Shaniwar Wada,Very spiritual and peaceful,2
660,Kamala Nehru Park,Amazing variety of animals,4
661,Mahatma Phule Mandai,Very spiritual and peaceful,1
662,Rajiv Gandhi Zoological Park,Scenic and tranquil,5
663,Rajiv Gandhi Zoological Park,Busy and bustling,2
664,Peshwe Udyan Zoo,Amazing variety of animals,5
665,Mulshi Lake and Dam,Rich historical significance,2
666,Aga Khan Palace,Scenic and tranquil,2
667,Peshwe Udyan Zoo,Developing area,5
668,Tathawade Park,Scenic and tranquil,1
669,Tulsi Baug,Great for shopping,3
670,Empress Garden,Developing area,1
671,Sinhagad Fort,Busy and bustling,3
672,Mahatma Phule Mandai,Amazing variety of animals,5
673,Kamala Nehru Park,Well-connected,4
674,Mahatma Phule Mandai,Great for shopping,1
675,Osho Ashram,Rich historical significance,1
676,Sambhaji Park,Family-friendly,1
677,Raja Dinkar Kelkar Museum,Family-friendly,3
678,Lal Mahal,Busy and bustling,4
679,Sinhagad Fort,Developing area,3
680,Mahatma Phule Mandai,Well-connected,2
681,Baner Pashan Biodiversity Park,Busy and bustling,4
682,Chaturshringi Temple,Great for shopping,4
683,Shaniwar Wada,Beautiful garden with a serene atmosphere,4
684,Katraj Snake Park,Developing area,2
685,Dagdusheth Halwai Ganpati Temple,Scenic and tranquil,2
686,Vishrambaug Wada,Developing area,4
687,Aga Khan Palace,Beautiful garden with a serene atmosphere,1
688,Hong Kong Lane,Great for shopping,4
689,Raja Dinkar Kelkar Museum,Family-friendly,5
690,Vishrambaug Wada,Beautiful garden with a serene atmosphere,1
691,Peshwe Udyan Zoo,Scenic and tranquil,1
692,Rajiv Gandhi Zoological Park,Amazing variety of animals,5
693,Fashion Street,Great for shopping,5
694,Chaturshringi Temple,Well-connected,2
695,Baner Pashan Biodiversity Park,Busy and bustling,1
696,Sinhagad Fort,Well-connected,1
697,Shinde Chhatri,Great for shopping,1
698,Raja Dinkar Kelkar Museum,Scenic and tranquil,1
699,Shunyo Park,Amazing variety of animals,3
700,Sambhaji Park,Busy and bustling,5
701,Empress Garden,Family-friendly,5
702,Kamala Nehru Park,Beautiful garden with a serene atmosphere,1
703,Pune Okayama Friendship Garden,Amazing variety of animals,4
704,Lal Mahal,Beautiful garden with a serene atmosphere,2
705,Empress Garden,Very spiritual and peaceful,1
706,Pune Okayama Friendship Garden,Rich historical significance,5
707,Shinde Chhatri,Family-friendly,1
708,Vishrambaug Wada,Scenic and tranquil,1
709,Osho Ashram,Busy and bustling,5
710,Saras Baug,Rich historical significance,1
711,Tathawade Park,Beautiful garden with a serene atmosphere,2
712,Lal Mahal,Developing area,4
713,Peshwa Udyan,Amazing variety of animals,2
714,Rajiv Gandhi Zoological Park,Scenic and tranquil,5
715,Lal Mahal,Scenic and tranquil,1
716,Shunyo Park,Developing area,5
717,Baner Pashan Biodiversity Park,Great for shopping,1
718,Pune Okayama Friendship Garden,Amazing variety of animals,4
719,Pataleshwar Cave Temple,Great for shopping,2
720,Shunyo Park,Great for shopping,2
721,Saras Baug,Family-friendly,5
722,Chaturshringi Temple,Scenic and tranquil,5
723,Peshwa Udyan,Rich historical significance,2
724,Raja Dinkar Kelkar Museum,Developing area,4
725,Dagdusheth Halwai Ganpati Temple,Developing area,3
726,Sambhaji Park,Busy and bustling,1
727,Rajiv Gandhi Zoological Park,Great for shopping,3
728,Raja Dinkar Kelkar Museum,Rich historical significance,2
729,Empress Garden,Well-connected,3
730,Chaturshringi Temple,Well-connected,3
731,Empress Garden,Great for shopping,5
732,Osho Ashram,Rich historical significance,3
733,Kasba Ganpati Temple,Well-connected,1
734,Chaturshringi Temple,Well-connected,5
735,Bund Garden,Family-friendly,3
736,Saras Baug,Scenic and tranquil,3
737,Osho Ashram,Scenic and tranquil,2
738,Mahatma Phule Mandai,Very spiritual and peaceful,5
739,Saras Baug,Very spiritual and peaceful,5
740,Tathawade Park,Scenic and tranquil,5
741,Pune Okayama Friendship Garden,Beautiful garden with a serene atmosphere,1
742,Shinde Chhatri,Developing area,5
743,Hong Kong Lane,Well-connected,5
744,Shaniwar Wada,Busy and bustling,1
745,Pune Okayama Friendship Garden,Amazing variety of animals,3
746,Sambhaji Park,Busy and bustling,5
747,Lal Mahal,Rich historical significance,5
748,Shinde Chhatri,Amazing variety of animals,4
749,Sinhagad Fort,Rich historical significance,2
750,Baner Pashan Biodiversity Park,Amazing variety of animals,4
751,Saras Baug,Family-friendly,4
752,Empress Garden,Amazing variety of animals,1
753,Hong Kong Lane,Great for shopping,5
754,Aga Khan Palace,Well-connected,2
755,Tulsi Baug,Family-friendly,3
756,Pune Okayama Friendship Garden,Rich historical significance,4
757,Shaniwar Wada,Busy and bustling,5
758,Laxmi Road,Great for shopping,2
759,Bund Garden,Developing area,5
760,Kamala Nehru Park,Developing area,2
761,Baner Pashan Biodiversity Park,Rich historical significance,1
762,Mahatma Phule Mandai,Scenic and tranquil,5
763,Saras Baug,Scenic and tranquil,2
764,Katraj Snake Park,Very spiritual and peaceful,4
765,Kamala Nehru Park,Rich historical significance,3
766,Rajiv Gandhi Zoological Park,Busy and bustling,4
767,Chaturshringi Temple,Well-connected,5
768,Raja Dinkar Kelkar Museum,Beautiful garden with a serene atmosphere,2
769,Hong Kong Lane,Scenic and tranquil,3
770,Shinde Chhatri,Amazing variety of animals,4
771,Shunyo Park,Developing area,4
772,Bund Garden,Amazing variety of animals,1
773,Bund Garden,Beautiful garden with a serene atmosphere,3
774,Kamala Nehru Park,Very spiritual and peaceful,5
775,Hong Kong Lane,Amazing variety of animals,2
776,Peshwa Udyan,Great for shopping,3
777,Fashion Street,Family-friendly,5
778,Peshwe Udyan Zoo,Scenic and tranquil,5
779,Aga Khan Palace,Developing area,2
780,Tulsi Baug,Beautiful garden with a serene atmosphere,4
781,Pataleshwar Cave Temple,Busy and bustling,4
782,Chaturshringi Temple,Great for shopping,5
783,Mulshi Lake and Dam,Very spiritual and peaceful,2
784,Aga Khan Palace,Amazing variety of animals,3
785,Parvati Hill Temple,Amazing variety of animals,5
786,Kasba Ganpati Temple,Amazing variety of animals,2
787,Aga Khan Palace,Busy and bustling,3
788,Shinde Chhatri,Rich historical significance,5
789,Chaturshringi Temple,Scenic and tranquil,5
790,Pataleshwar Cave Temple,Very spiritual and peaceful,3
791,Katraj Snake Park,Well-connected,5
792,Vishrambaug Wada,Well-connected,3
793,Vishrambaug Wada,Well-connected,2
794,Vishrambaug Wada,Busy and bustling,2
795,Saras Baug,Great for shopping,1
796,Hong Kong Lane,Beautiful garden with a serene atmosphere,5
797,Sinhagad Fort,Beautiful garden with a serene atmosphere,5
798,Rajiv Gandhi Zoological Park,Very spiritual and peaceful,2
799,Raja Dinkar Kelkar Museum,Developing area,3
800,Bund Garden,Great for shopping,2
801,Shaniwar Wada,Very spiritual and peaceful,5
802,Raja Dinkar Kelkar Museum,Rich historical significance,3
803,Kasba Ganpati Temple,Developing area,3
804,Chaturshringi Temple,Rich historical significance,3
805,Laxmi Road,Amazing variety of animals,1
806,Empress Garden,Amazing variety of animals,4
807,Baner Pashan Biodiversity Park,Amazing variety of animals,4
808,Shinde Chhatri,Well-connected,3
809,Vishrambaug Wada,Very spiritual and peaceful,3
810,Kamala Nehru Park,Busy and bustling,2
811,Tathawade Park,Beautiful garden with a serene atmosphere,3
812,Lal Mahal,Great for shopping,2
813,Peshwa Udyan,Rich historical significance,2
814,Laxmi Road,Amazing variety of animals,5
815,Peshwa Udyan,Well-connected,5
816,Katraj Snake Park,Well-connected,3
817,Shinde Chhatri,Well-connected,1
818,Sinhagad Fort,Rich historical significance,2
819,Chaturshringi Temple,Beautiful garden with a serene atmosphere,2
820,Vishrambaug Wada,Rich historical significance,2
821,Sambhaji Park,Great for shopping,5
822,Osho Ashram,Rich historical significance,1
823,Shaniwar Wada,Rich historical significance,1
824,Mulshi Lake and Dam,Rich historical significance,4
825,Rajiv Gandhi Zoological Park,Scenic and tranquil,2
826,Tulsi Baug,Amazing variety of animals,1
827,Rajiv Gandhi Zoological Park,Very spiritual and peaceful,3
828,Tathawade Park,Amazing variety of animals,3
829,Parvati Hill Temple,Beautiful garden with a serene atmosphere,5
830,Laxmi Road,Great for shopping,4
831,Dagdusheth Halwai Ganpati Temple,Developing area,1
832,Rajiv Gandhi Zoological Park,Busy and bustling,5
833,Pune Okayama Friendship Garden,Beautiful garden with a serene atmosphere,3
834,Vishrambaug Wada,Rich historical significance,3
835,Rajiv Gandhi Zoological Park,Scenic and tranquil,5
836,Rajiv Gandhi Zoological Park,Beautiful garden with a serene atmosphere,4
837,Pune Okayama Friendship Garden,Rich historical significance,4
838,Hong Kong Lane,Developing area,1
839,Fashion Street,Amazing variety of animals,3
840,Aga Khan Palace,Amazing variety of animals,1
841,Vishrambaug Wada,Family-friendly,2
842,Empress Garden,Busy and bustling,5
843,Kamala Nehru Park,Amazing variety of animals,2
844,Peshwa Udyan,Family-friendly,5
845,Baner Pashan Biodiversity Park,Beautiful garden with a serene atmosphere,3
846,Katraj Snake Park,Family-friendly,1
847,Shunyo Park,Scenic and tranquil,2
848,Osho Ashram,Amazing variety of animals,3
849,Mulshi Lake and Dam,Scenic and tranquil,3
850,Tulsi Baug,Rich historical significance,2
851,Sambhaji Park,Amazing variety of animals,3
852,Parvati Hill Temple,Busy and bustling,1
853,Peshwa Udyan,Amazing variety of animals,4
854,Baner Pashan Biodiversity Park,Great for shopping,4
855,Mahatma Phule Mandai,Well-connected,3
856,Shunyo Park,Great for shopping,5
857,Baner Pashan Biodiversity Park,Busy and bustling,1
858,Laxmi Road,Family-friendly,3
859,Baner Pashan Biodiversity Park,Great for shopping,4
860,Aga Khan Palace,Very spiritual and peaceful,5
861,Sinhagad Fort,Busy and bustling,3
862,Baner Pashan Biodiversity Park,Developing area,1
863,Shaniwar Wada,Family-friendly,2
864,Dagdusheth Halwai Ganpati Temple,Busy and bustling,5
865,Tulsi Baug,Rich historical significance,4
866,Vishrambaug Wada,Great for shopping,1
867,Dagdusheth Halwai Ganpati Temple,Amazing variety of animals,2
868,Mulshi Lake and Dam,Amazing variety of animals,5
869,Peshwe Udyan Zoo,Very spiritual and peaceful,3
870,Rajiv Gandhi Zoological Park,Busy and bustling,3
871,Laxmi Road,Developing area,4
872,Shinde Chhatri,Rich historical significance,5
873,Pune Okayama Friendship Garden,Busy and bustling,5
874,Osho Ashram,Great for shopping,1
875,Saras Baug,Busy and bustling,3
876,Lal Mahal,Rich historical significance,2
877,Laxmi Road,Scenic and tranquil,2
878,Rajiv Gandhi Zoological Park,Amazing variety of animals,3
879,Tathawade Park,Amazing variety of animals,1
880,Sinhagad Fort,Busy and bustling,5
881,Empress Garden,Very spiritual and peaceful,3
882,Shaniwar Wada,Well-connected,1
883,Rajiv Gandhi Zoological Park,Rich historical significance,2
884,Raja Dinkar Kelkar Museum,Family-friendly,2
885,Sinhagad Fort,Well-connected,4
886,Vishrambaug Wada,Amazing variety of animals,3
887,Hong Kong Lane,Beautiful garden with a serene atmosphere,5
888,Chaturshringi Temple,Developing area,4
889,Raja Dinkar Kelkar Museum,Great for shopping,5
890,Laxmi Road,Rich historical significance,3
891,Tulsi Baug,Amazing variety of animals,3
892,Tulsi Baug,Scenic and tranquil,3
893,Mahatma Phule Mandai,Rich historical significance,4
894,Dagdusheth Halwai Ganpati Temple,Beautiful garden with a serene atmosphere,5
895,Shunyo Park,Developing area,2
896,Baner Pashan Biodiversity Park,Developing area,1
897,Dagdusheth Halwai Ganpati Temple,Rich historical significance,3
898,Lal Mahal,Great for shopping,1
899,Peshwa Udyan,Amazing variety of animals,4
900,Dagdusheth Halwai Ganpati Temple,Rich historical significance,5
901,Peshwa Udyan,Well-connected,1
902,Sinhagad Fort,Beautiful garden with a serene atmosphere,1
903,Kamala Nehru Park,Amazing variety of animals,2
904,Vishrambaug Wada,Great for shopping,2
905,Rajiv Gandhi Zoological Park,Family-friendly,1
906,Laxmi Road,Very spiritual and peaceful,3
907,Shinde Chhatri,Very spiritual and peaceful,1
908,Hong Kong Lane,Very spiritual and peaceful,4
909,Raja Dinkar Kelkar Museum,Developing area,3
910,Kamala Nehru Park,Great for shopping,4
911,Mahatma Phule Mandai,Well-connected,2
912,Peshwa Udyan,Busy and bustling,5
913,Saras Baug,Amazing variety of animals,2
914,Laxmi Road,Scenic and tranquil,1
915,Osho Ashram,Rich historical significance,3
916,Kasba Ganpati Temple,Developing area,1
917,Fashion Street,Busy and bustling,3
918,Kasba Ganpati Temple,Great for shopping,2
919,Aga Khan Palace,Scenic and tranquil,1
920,Dagdusheth Halwai Ganpati Temple,Well-connected,2
921,Rajiv Gandhi Zoological Park,Rich historical significance,4
922,Tathawade Park,Very spiritual and peaceful,1
923,Chaturshringi Temple,Busy and bustling,1
924,Dagdusheth Halwai Ganpati Temple,Scenic and tranquil,2
925,Mahatma Phule Mandai,Scenic and tranquil,1
926,Parvati Hill Temple,Busy and bustling,4
927,Sinhagad Fort,Scenic and tranquil,2
928,Raja Dinkar Kelkar Museum,Family-friendly,2
929,Parvati Hill Temple,Well-connected,2
930,Chaturshringi Temple,Developing area,3
931,Tulsi Baug,Amazing variety of animals,5
932,Chaturshringi Temple,Family-friendly,5
933,Laxmi Road,Busy and bustling,2
934,Laxmi Road,Great for shopping,2
935,Shinde Chhatri,Busy and bustling,5
936,Lal Mahal,Very spiritual and peaceful,3
937,Rajiv Gandhi Zoological Park,Beautiful garden with a serene atmosphere,2
938,Shaniwar Wada,Developing area,2
939,Kasba Ganpati Temple,Beautiful garden with a serene atmosphere,5
940,Fashion Street,Family-friendly,5
941,Baner Pashan Biodiversity Park,Great for shopping,5
942,Kasba Ganpati Temple,Well-connected,3
943,Rajiv Gandhi Zoological Park,Amazing variety of animals,2
944,Mahatma Phule Mandai,Amazing variety of animals,2
945,Peshwa Udyan,Scenic and tranquil,5
946,Sinhagad Fort,Family-friendly,1
947,Aga Khan Palace,Beautiful garden with a serene atmosphere,5
948,Mahatma Phule Mandai,Amazing variety of animals,5
949,Shinde Chhatri,Very spiritual and peaceful,4
950,Sambhaji Park,Great for shopping,1
951,Dagdusheth Halwai Ganpati Temple,Family-friendly,1
952,Saras Baug,Great for shopping,1
953,Vishrambaug Wada,Family-friendly,1
954,Rajiv Gandhi Zoological Park,Very spiritual and peaceful,4
955,Shunyo Park,Busy and bustling,5
956,Sinhagad Fort,Amazing variety of animals,2
957,Chaturshringi Temple,Developing area,5
958,Peshwa Udyan,Very spiritual and peaceful,3
959,Kasba Ganpati Temple,Beautiful garden with a serene atmosphere,2
960,Pataleshwar Cave Temple,Busy and bustling,1
961,Laxmi Road,Beautiful garden with a serene atmosphere,4
962,Empress Garden,Well-connected,5
963,Sinhagad Fort,Rich historical significance,3
964,Vishrambaug Wada,Rich historical significance,4
965,Pune Okayama Friendship Garden,Busy and bustling,3
966,Peshwa Udyan,Scenic and tranquil,4
967,Pune Okayama Friendship Garden,Scenic and tranquil,3
968,Lal Mahal,Family-friendly,2
969,Kamala Nehru Park,Developing area,1
970,Dagdusheth Halwai Ganpati Temple,Amazing variety of animals,4
971,Rajiv Gandhi Zoological Park,Amazing variety of animals,1
972,Rajiv Gandhi Zoological Park,Well-connected,4
973,Kamala Nehru Park,Well-connected,3
974,Lal Mahal,Well-connected,3
975,Kasba Ganpati Temple,Scenic and tranquil,4
976,Mahatma Phule Mandai,Busy and bustling,3
977,Rajiv Gandhi Zoological Park,Very spiritual and peaceful,3
978,Mahatma Phule Mandai,Rich historical significance,5
979,Mahatma Phule Mandai,Busy and bustling,5
980,Lal Mahal,Rich historical significance,1
981,Kamala Nehru Park,Busy and bustling,3
982,Fashion Street,Family-friendly,3
983,Baner Pashan Biodiversity Park,Very spiritual and peaceful,1
984,Bund Garden,Well-connected,4
985,Mulshi Lake and Dam,Scenic and tranquil,2
986,Osho Ashram,Busy and bustling,4
987,Kamala Nehru Park,Scenic and tranquil,4
988,Kasba Ganpati Temple,Family-friendly,1
989,Laxmi Road,Family-friendly,5
990,Pataleshwar Cave Temple,Family-friendly,3
991,Shaniwar Wada,Busy and bustling,5
992,Rajiv Gandhi Zoological Park,Scenic and tranquil,5
993,Tulsi Baug,Amazing variety of animals,5
994,Sambhaji Park,Great for shopping,2
995,Dagdusheth Halwai Ganpati Temple,Family-friendly,1
996,Pataleshwar Cave Temple,Busy and bustling,4
997,Shinde Chhatri,Great for shopping,3
998,Lal Mahal,Scenic and tranquil,1
999,Katraj Snake Park,Developing area,3
1000,Vishrambaug Wada,Beautiful garden with a serene atmosphere,5
1001,Baner,Vibrant and lively,2
1002,Deccan Gymkhana,Safe and quiet,1
1003,Pashan,Developing area,3
1004,Baner,Tech hub with good facilities,4
1005,Kharadi,Developing area,4
1006,Aundh,Peaceful and green,5
1007,Bibwewadi,Developing area,4
1008,Hadapsar,Great place with lots of amenities,3
1009,Deccan Gymkhana,Safe and quiet,1
1010,Koregaon Park,Vibrant and lively,5
1011,Pashan,Peaceful and green,5
1012,Magarpatta,Well-connected,3
1013,Kothrud,Safe and quiet,4
1014,Bavdhan,Family-friendly,1
1015,Kothrud,Good residential area,1
1016,Swargate,Busy and bustling,1
1017,Camp,Developing area,4
1018,Deccan Gymkhana,Busy and bustling,2
1019,Koregaon Park,Busy and bustling,5
1020,Deccan Gymkhana,Busy and bustling,2
1021,Dhankawadi,Family-friendly,2
1022,Kothrud,Busy and bustling,2
1023,Hinjewadi,Good residential area,4
1024,Baner,Great place with lots of amenities,3
1025,Aundh,Tech hub with good facilities,3
1026,Shivaji Nagar,Well-connected,5
1027,Koregaon Park,Family-friendly,2
1028,Dhankawadi,Busy and bustling,5
1029,Deccan Gymkhana,Well-connected,3
1030,Kothrud,Great place with lots of amenities,2
1031,Koregaon Park,Developing area,4
1032,Deccan Gymkhana,Family-friendly,1
1033,Pimple Saudagar,Good residential area,1
1034,Camp,Good residential area,1
1035,Pashan,Well-connected,1
1036,Bibwewadi,Peaceful and green,3
1037,Viman Nagar,Great place with lots of amenities,2
1038,Wakad,Family-friendly,3
1039,Baner,Developing area,2
1040,Pimple Saudagar,Good residential area,1
1041,Swargate,Busy and bustling,5
1042,Deccan Gymkhana,Developing area,5
1043,Kharadi,Safe and quiet,3
1044,Shivaji Nagar,Good residential area,3
1045,Bibwewadi,Safe and quiet,1
1046,Pimple Saudagar,Busy and bustling,4
1047,Kharadi,Safe and quiet,5
1048,Pimple Saudagar,Tech hub with good facilities,2
1049,Kharadi,Vibrant and lively,5
1050,Bavdhan,Tech hub with good facilities,5
1051,Pashan,Peaceful and green,1
1052,Aundh,Tech hub with good facilities,2
1053,Aundh,Great place with lots of amenities,4
1054,Swargate,Family-friendly,5
1055,Viman Nagar,Safe and quiet,1
1056,Dhankawadi,Well-connected,3
1057,Swargate,Busy and bustling,3
1058,Pashan,Great place with lots of amenities,4
1059,Magarpatta,Developing area,4
1060,Swargate,Vibrant and lively,2
1061,Pimple Saudagar,Family-friendly,4
1062,Aundh,Good residential area,2
1063,Pimple Saudagar,Vibrant and lively,4
1064,Aundh,Great place with lots of amenities,2
1065,Wakad,Safe and quiet,5
1066,Magarpatta,Good residential area,3
1067,Bavdhan,Family-friendly,2
1068,Kharadi,Great place with lots of amenities,3
1069,Viman Nagar,Safe and quiet,1
1070,Kharadi,Great place with lots of amenities,4
1071,Magarpatta,Peaceful and green,3
1072,Hadapsar,Busy and bustling,1
1073,Bibwewadi,Family-friendly,3
1074,Pimple Saudagar,Family-friendly,2
1075,Bibwewadi,Great place with lots of amenities,3
1076,Wakad,Peaceful and green,3
1077,Deccan Gymkhana,Family-friendly,5
1078,Kharadi,Family-friendly,1
1079,Yerawada,Good residential area,3
1080,Shivaji Nagar,Good residential area,4
1081,Shivaji Nagar,Well-connected,5
1082,Kothrud,Safe and quiet,3
1083,Pimple Saudagar,Good residential area,4
1084,Viman Nagar,Great place with lots of amenities,4
1085,Hinjewadi,Peaceful and green,3
1086,Bavdhan,Developing area,2
1087,Magarpatta,Peaceful and green,4
1088,Baner,Safe and quiet,3
1089,Aundh,Family-friendly,5
1090,Pimple Saudagar,Tech hub with good facilities,3
1091,Hadapsar,Developing area,1
1092,Bavdhan,Developing area,4
1093,Aundh,Family-friendly,5
1094,Swargate,Good residential area,3
1095,Hadapsar,Well-connected,3
1096,Wakad,Developing area,2
1097,Yerawada,Family-friendly,5
1098,Magarpatta,Family-friendly,4
1099,Hadapsar,Family-friendly,1
1100,Magarpatta,Tech hub with good facilities,1
1101,Camp,Busy and bustling,1
1102,Kharadi,Family-friendly,2
1103,Magarpatta,Peaceful and green,3
1104,Baner,Great place with lots of amenities,3
1105,Yerawada,Good residential area,2
1106,Magarpatta,Family-friendly,3
1107,Bibwewadi,Well-connected,4
1108,Camp,Good residential area,5
1109,Wakad,Vibrant and lively,5
1110,Shivaji Nagar,Family-friendly,2
1111,Pashan,Vibrant and lively,4
1112,Bibwewadi,Good residential area,2
1113,Yerawada,Family-friendly,2
1114,Swargate,Busy and bustling,4
1115,Magarpatta,Safe and quiet,2
1116,Bibwewadi,Vibrant and lively,2
1117,Kothrud,Vibrant and lively,3
1118,Kothrud,Tech hub with good facilities,3
1119,Deccan Gymkhana,Good residential area,4
1120,Aundh,Developing area,4
1121,Yerawada,Busy and bustling,4
1122,Hinjewadi,Safe and quiet,2
1123,Koregaon Park,Good residential area,2
1124,Hadapsar,Developing area,4
1125,Bavdhan,Family-friendly,4
1126,Baner,Family-friendly,4
1127,Baner,Vibrant and lively,2
1128,Dhankawadi,Vibrant and lively,4
1129,Hinjewadi,Developing area,4
1130,Camp,Great place with lots of amenities,1
1131,Kothrud,Good residential area,5
1132,Bibwewadi,Tech hub with good facilities,1
1133,Camp,Peaceful and green,1
1134,Magarpatta,Peaceful and green,3
1135,Viman Nagar,Great place with lots of amenities,2
1136,Kothrud,Busy and bustling,3
1137,Camp,Tech hub with good facilities,5
1138,Koregaon Park,Peaceful and green,5
1139,Pimple Saudagar,Tech hub with good facilities,1
1140,Hinjewadi,Family-friendly,2
1141,Hinjewadi,Well-connected,1
1142,Baner,Well-connected,5
1143,Shivaji Nagar,Good residential area,2
1144,Camp,Great place with lots of amenities,4
1145,Dhankawadi,Great place with lots of amenities,5
1146,Magarpatta,Family-friendly,5
1147,Pimple Saudagar,Tech hub with good facilities,2
1148,Hinjewadi,Good residential area,5
1149,Baner,Peaceful and green,5
1150,Shivaji Nagar,Good residential area,5
1151,Shivaji Nagar,Great place with lots of amenities,2
1152,Aundh,Good residential area,3
1153,Dhankawadi,Tech hub with good facilities,5
1154,Kothrud,Tech hub with good facilities,1
1155,Yerawada,Well-connected,2
1156,Kothrud,Family-friendly,3
1157,Deccan Gymkhana,Family-friendly,3
1158,Shivaji Nagar,Well-connected,3
1159,Hadapsar,Peaceful and green,3
1160,Hinjewadi,Tech hub with good facilities,1
1161,Pimple Saudagar,Developing area,3
1162,Hadapsar,Tech hub with good facilities,5
1163,Bibwewadi,Family-friendly,3
1164,Magarpatta,Well-connected,2
1165,Bibwewadi,Family-friendly,2
1166,Bavdhan,Well-connected,1
1167,Kharadi,Developing area,1
1168,Shivaji Nagar,Developing area,5
1169,Kothrud,Vibrant and lively,3
1170,Yerawada,Well-connected,5
1171,Hadapsar,Good residential area,2
1172,Hadapsar,Well-connected,1
1173,Bibwewadi,Family-friendly,5
1174,Wakad,Peaceful and green,4
1175,Swargate,Safe and quiet,4
1176,Viman Nagar,Safe and quiet,1
1177,Baner,Busy and bustling,5
1178,Pimple Saudagar,Family-friendly,1
1179,Magarpatta,Developing area,2
1180,Bibwewadi,Developing area,4
1181,Pashan,Family-friendly,2
1182,Kharadi,Safe and quiet,4
1183,Kharadi,Well-connected,4
1184,Swargate,Vibrant and lively,3
1185,Hinjewadi,Vibrant and lively,3
1186,Shivaji Nagar,Great place with lots of amenities,1
1187,Kharadi,Well-connected,5
